STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	215	6	55	38802500	38795537	142015	10	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	216	6	57	38802500	38795537	98603	7	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	217	6	59	38802500	38795537	3156440	45	41	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	218	6	61	38802500	38795537	373812	9	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	219	6	63	38802500	38795537	18708	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	220	6	65	38802500	38795537	2328530	41	34	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	221	6	67	38802500	38795537	1480559	20	17	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	222	6	69	38802500	38795537	58452	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	223	6	71	38802500	38795537	2111931	39	33	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	224	6	73	38802500	38795537	3256669	32	27	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	225	6	75	38802500	38795537	850294	12	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	226	6	77	38802500	38795537	712619	15	10	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	227	6	79	38802500	38795537	279628	17	15	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	228	6	81	38802500	38795537	758655	22	21	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	229	6	83	38802500	38795537	441058	16	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	230	6	85	38802500	38795537	1891922	27	23	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	231	6	87	38802500	38795537	272480	10	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	232	6	89	38802500	38795537	180406	8	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	233	6	91	38802500	38795537	3022	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	234	6	93	38802500	38795537	43752	15	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	235	6	95	38802500	38795537	429882	12	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	236	6	97	38802500	38795537	500416	18	17	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	237	6	99	38802500	38795537	531018	16	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	238	6	101	38802500	38795537	96015	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	239	6	103	38802500	38795537	63258	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	240	6	105	38802500	38795537	13446	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	241	6	107	38802500	38795537	459432	14	12	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	242	6	109	38802500	38795537	53854	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	243	6	111	38802500	38795537	847935	21	18	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	244	6	113	38802500	38795537	206611	10	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	245	6	115	38802500	38795537	73990	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	246	6	777	38802500	38795537	0	10	9	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	247	8	1	5355866	5269682	478569	8	11	99.9996	2	2	0	0	0	2	0	1	1	0
9999	1	8	248	8	3	5355866	5269682	6799	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	249	8	5	5355866	5269682	618948	13	12	100	2	2	0	0	0	2	0	1	2	0
9999	1	8	250	8	7	5355866	5269682	12297	3	2	92.8309	0	0	0	0	0	0	0	0	0	0
9999	1	8	251	8	9	5355866	5269682	3677	4	4	98.817	0	0	0	0	0	0	0	0	0	0
9999	1	8	252	8	11	5355866	5269682	5534	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	253	8	13	5355866	5269682	251443	8	6	100	1	1	0	0	0	1	0	0	1	0
9999	1	8	254	8	14	5355866	5269682	60693	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	255	8	15	5355866	5269682	18797	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	256	8	17	5355866	5269682	1915	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	257	8	19	5355866	5269682	8789	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	258	8	21	5355866	5269682	8324	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	259	8	23	5355866	5269682	3536	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	260	8	25	5355866	5269682	5231	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	261	8	27	5355866	5269682	4311	1	1	100	0	0	0	0	0	0	0	0	0	0
